P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,OZ254490.1,183,63,24,0.000000000001,0,-11.9214,0.00095,9.479197e-04,65960,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254496.1,183,63,24,0.000000000001,0,-11.9214,0.00095,9.479197e-04,66606,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254497.1,182,64,24,0.000000000002,0,-11.6729,0.00168,1.679495e-03,66451,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254499.1,188,65,24,0.000000000002,0,-11.7745,0.00133,1.329292e-03,66617,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254506.1,185,65,24,0.000000000002,0,-11.6275,0.00186,1.864151e-03,66619,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254267.1,185,64,24,0.000000000002,0,-11.8221,0.00119,1.191292e-03,66611,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254271.1,196,65,24,0.000000000001,0,-12.1563,0.00055,5.521402e-04,68429,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254274.1,183,65,24,0.000000000003,0,-11.5283,0.00234,2.341909e-03,65975,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254281.1,186,65,24,0.000000000002,0,-11.6768,0.00166,1.664535e-03,66614,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254302.1,182,62,25,0.000000000000,0,-12.8043,0.00012,1.241807e-04,66377,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254313.1,197,65,24,0.000000000001,0,-12.2030,0.00050,4.958479e-04,68483,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ261139.1,OZ375330.1,OZ254398.1,202,70,25,0.000000000001,0,-12.2004,0.00050,4.987810e-04,59029,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,PZ346337.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PZ346336.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,PZ346333.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,PZ390101.1,196,67,28,0.000000000000,0,-14.6732,0.00000,1.679804e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PZ390102.1,196,67,28,0.000000000000,0,-14.6732,0.00000,1.679804e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PZ390100.1,196,67,28,0.000000000000,0,-14.6732,0.00000,1.679804e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PV844899.1,196,55,23,0.000000000000,0,-13.4772,0.00003,2.637682e-05,33969,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ474843.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ474844.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,PP601207.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31529,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601216.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31602,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601218.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31602,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601219.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31599,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601220.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31580,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601222.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31599,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601223.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31602,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601224.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31599,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PP601225.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31599,124956-126134 & 159499-161995
OZ235149.1,OZ375330.1,OZ453692.1,193,68,28,0.000000000000,0,-14.2826,0.00000,4.128712e-06,68344,93420-94404 & 165142-165403
OZ235154.1,OZ375330.1,PP601228.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31592,124956-126134 & 159499-161995
OZ261139.1,OZ375330.1,OZ461705.1,203,70,25,0.000000000001,0,-12.2476,0.00045,4.473840e-04,59041,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235154.1,OZ375330.1,PP601226.1,181,48,18,0.000000000056,0,-10.2532,0.04322,4.321883e-02,28512,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,OZ334403.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ370097.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68506,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ389617.1,196,67,28,0.000000000000,0,-14.6732,0.00000,1.679804e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254448.1,181,62,24,0.000000000001,0,-12.0238,0.00075,7.489591e-04,66028,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ254666.1,OZ375330.1,OZ254463.1,166,57,22,0.000000000014,0,-10.8504,0.01111,1.110807e-02,55183,93420-99333 & 161993-162241,93420-99333 & 164720-165403
OZ235149.1,OZ375330.1,OZ254531.1,188,65,24,0.000000000002,0,-11.7745,0.00133,1.329292e-03,66609,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ254587.1,181,50,20,0.000000000003,0,-11.4675,0.00269,2.693630e-03,31947,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ254596.1,182,63,24,0.000000000001,0,-11.8714,0.00106,1.063615e-03,66492,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254619.1,182,63,24,0.000000000001,0,-11.8714,0.00106,1.063615e-03,65954,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254628.1,184,64,24,0.000000000002,0,-11.7726,0.00134,1.335047e-03,66627,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254642.1,183,64,24,0.000000000002,0,-11.7229,0.00150,1.496980e-03,66543,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254643.1,184,64,24,0.000000000002,0,-11.7726,0.00134,1.335047e-03,66613,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254710.1,181,61,23,0.000000000003,0,-11.5049,0.00247,2.471555e-03,65772,93420-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254712.1,192,60,23,0.000000000001,0,-12.2227,0.00047,4.738604e-04,66320,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254761.1,182,62,24,0.000000000001,0,-12.0741,0.00067,6.670389e-04,66314,93420-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254789.1,177,61,24,0.000000000001,0,-12.0268,0.00074,7.437279e-04,65406,93420-94404 & 165142-165403
OZ235149.1,OZ375330.1,PZ390103.1,195,68,28,0.000000000000,0,-14.3930,0.00000,3.202102e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PX442285.1,193,57,25,0.000000000000,0,-14.5111,0.00000,2.439773e-06,34087,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,PQ305763.1,189,49,18,0.000000000044,0,-10.3561,0.03426,3.425538e-02,28240,124956-126134 & 156638-161995
OZ235154.1,OZ375330.1,OZ474763.1,194,56,25,0.000000000000,0,-14.8065,0.00000,1.235741e-06,34053,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,PP601213.1,200,52,18,0.000000000064,0,-10.1925,0.04954,4.953710e-02,31602,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,OZ414393.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ254492.1,182,62,24,0.000000000001,0,-12.0741,0.00067,6.670389e-04,66297,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254507.1,181,64,24,0.000000000002,0,-11.6226,0.00189,1.885326e-03,65892,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PX925915.1,183,57,25,0.000000000000,0,-14.0013,0.00001,7.891089e-06,34083,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ261139.1,OZ375330.1,PZ123393.1,202,70,24,0.000000000003,0,-11.5127,0.00243,2.427531e-03,57389,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235154.1,OZ375330.1,PZ346334.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,PX480709.1,181,68,28,0.000000000000,0,-13.5977,0.00002,1.998743e-05,67077,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PQ305768.1,178,62,22,0.000000000034,0,-10.4684,0.02656,2.655959e-02,65670,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ412552.1,193,57,25,0.000000000000,0,-14.5111,0.00000,2.439773e-06,34043,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ254206.1,186,64,24,0.000000000001,0,-11.8714,0.00106,1.063603e-03,66611,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254222.1,184,64,24,0.000000000002,0,-11.7726,0.00134,1.335047e-03,65954,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254245.1,184,65,24,0.000000000003,0,-11.5781,0.00209,2.088846e-03,66615,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254248.1,180,64,24,0.000000000003,0,-11.5721,0.00212,2.117585e-03,65880,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ261139.1,OZ375330.1,PZ123392.1,202,70,24,0.000000000003,0,-11.5127,0.00243,2.427531e-03,57430,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,PZ123394.1,195,64,24,0.000000000000,0,-12.3043,0.00039,3.927130e-04,66857,93420-94404 & 165142-165403
OZ235149.1,OZ375330.1,PX480710.1,181,66,28,0.000000000000,0,-14.0520,0.00001,7.021031e-06,66723,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ305773.1,187,49,18,0.000000000052,0,-10.2832,0.04040,4.039664e-02,31059,124956-126134 & 159499-161995
OZ235149.1,OZ375330.1,PQ305779.1,192,64,22,0.000000000018,0,-10.7427,0.01421,1.420928e-02,67552,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PQ305781.1,181,59,22,0.000000000007,0,-11.1739,0.00529,5.289270e-03,62522,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ305787.1,190,49,18,0.000000000041,0,-10.3924,0.03156,3.155749e-02,31181,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PQ305791.1,193,49,18,0.000000000032,0,-10.5000,0.02472,2.471655e-02,31527,124956-126134 & 159499-161995
OZ235149.1,OZ375330.1,PQ240043.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ220056.1,195,51,18,0.000000000063,0,-10.1981,0.04892,4.892300e-02,31529,124956-126134 & 159499-161995
OZ235149.1,OZ375330.1,PQ178862.2,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ462706.1,191,65,28,0.000000000000,0,-14.8608,0.00000,1.090508e-06,66013,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ462771.1,167,55,25,0.000000000000,0,-13.6260,0.00002,1.872589e-05,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ462776.1,176,55,25,0.000000000000,0,-14.1256,0.00001,5.926796e-06,34063,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ470124.1,175,53,25,0.000000000000,0,-14.5936,0.00000,2.017635e-06,31498,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ470950.1,179,54,26,0.000000000000,0,-15.3886,0.00000,3.234673e-07,54307,93420-103185 & 161993-162241,93420-103185 & 164720-165403
OZ235154.1,OZ375330.1,OZ474762.1,194,56,25,0.000000000000,0,-14.8065,0.00000,1.235741e-06,34040,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ254806.1,186,65,24,0.000000000002,0,-11.6768,0.00166,1.664535e-03,66773,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254828.1,183,64,24,0.000000000002,0,-11.7229,0.00150,1.496980e-03,66616,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254838.1,184,65,24,0.000000000003,0,-11.5781,0.00209,2.088846e-03,66612,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254854.1,184,65,24,0.000000000003,0,-11.5781,0.00209,2.088846e-03,66845,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254859.1,185,65,24,0.000000000002,0,-11.6275,0.00186,1.864151e-03,66611,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ254627.1,OZ375330.1,OZ254904.1,176,62,22,0.000000000042,0,-10.3742,0.03288,3.288098e-02,54049,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,OZ254900.1,182,61,25,0.000000000000,0,-13.0231,0.00008,7.504923e-05,65584,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ244989.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ245036.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ261139.1,OZ375330.1,OZ245035.1,202,68,25,0.000000000000,0,-12.5775,0.00021,2.093290e-04,59079,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,OZ245037.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254191.1,181,60,24,0.000000000000,0,-12.4425,0.00029,2.856935e-04,65589,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ474841.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ412016.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ305797.1,189,49,18,0.000000000044,0,-10.3561,0.03426,3.425538e-02,31591,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,PQ305799.1,179,47,18,0.000000000042,0,-10.3758,0.03276,3.276350e-02,27559,124956-126134 & 156638-161995
OZ235149.1,OZ375330.1,PQ305803.1,183,62,22,0.000000000020,0,-10.6996,0.01568,1.568317e-02,66742,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PQ305808.1,181,63,24,0.000000000002,0,-11.8211,0.00119,1.194112e-03,66576,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PQ305809.1,190,63,22,0.000000000015,0,-10.8326,0.01157,1.156983e-02,67176,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ305820.1,199,49,18,0.000000000019,0,-10.7107,0.01529,1.528891e-02,31599,124956-126134 & 159499-161995
OZ235154.1,OZ375330.1,OZ474764.1,194,56,25,0.000000000000,0,-14.8065,0.00000,1.235741e-06,34052,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ474840.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ412551.1,193,57,25,0.000000000000,0,-14.5111,0.00000,2.439773e-06,34042,124956-126134 & 161993-162241,124956-126134 & 164720-165403
