P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,OZ474764.1,190,62,27,0.000000000000,0,-14.7501,0.00000,1.406973e-06,65786,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474840.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474841.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474765.1,190,62,27,0.000000000000,0,-14.7501,0.00000,1.406973e-06,65787,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474842.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474843.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474844.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254497.1,182,59,22,0.000000000006,0,-11.2200,0.00476,4.757715e-03,63760,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254499.1,187,59,22,0.000000000004,0,-11.4471,0.00282,2.822731e-03,63926,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254506.1,184,59,22,0.000000000005,0,-11.3115,0.00386,3.855303e-03,63928,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254507.1,181,58,22,0.000000000004,0,-11.3710,0.00336,3.362922e-03,63201,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254531.1,187,59,22,0.000000000004,0,-11.4471,0.00282,2.822731e-03,63918,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ254266.1,OZ375330.1,OZ254587.1,186,52,19,0.000000000034,0,-10.4694,0.02650,2.649510e-02,20848,124956-126272 & 150409-151616,124956-126272 & 161993-162241,124956-126272 & 164714-165915
OZ235149.1,OZ375330.1,OZ254596.1,181,57,21,0.000000000015,0,-10.8274,0.01171,1.170863e-02,63800,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254619.1,181,58,22,0.000000000004,0,-11.3710,0.00336,3.362922e-03,63265,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254628.1,183,59,22,0.000000000005,0,-11.2659,0.00428,4.281734e-03,63936,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254642.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63852,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254643.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63922,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254710.1,180,55,20,0.000000000038,0,-10.4226,0.02947,2.946919e-02,63080,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,OZ254712.1,188,54,20,0.000000000011,0,-10.9446,0.00895,8.950602e-03,63626,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254761.1,181,57,22,0.000000000003,0,-11.5726,0.00212,2.115335e-03,63621,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,OZ254789.1,176,55,21,0.000000000010,0,-10.9962,0.00795,7.951782e-03,62713,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,OZ254806.1,184,59,22,0.000000000005,0,-11.3115,0.00386,3.855303e-03,64082,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254828.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63925,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254838.1,183,59,22,0.000000000005,0,-11.2659,0.00428,4.281734e-03,63921,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254854.1,183,59,22,0.000000000005,0,-11.2659,0.00428,4.281734e-03,64155,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254859.1,184,59,22,0.000000000005,0,-11.3115,0.00386,3.855303e-03,63920,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254904.1,178,59,22,0.000000000009,0,-11.0341,0.00729,7.289649e-03,64073,93744-97018 & 165063-165915,93744-97018 & 166392-170054
OZ235149.1,OZ375330.1,OZ254900.1,182,54,22,0.000000000001,0,-12.2529,0.00044,4.420130e-04,62891,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ244989.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ245036.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ245035.1,192,59,23,0.000000000000,0,-12.4274,0.00030,2.957412e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ245037.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254191.1,180,57,22,0.000000000003,0,-11.5262,0.00235,2.353666e-03,62903,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254206.1,184,59,22,0.000000000005,0,-11.3115,0.00386,3.855303e-03,63920,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254222.1,183,58,22,0.000000000003,0,-11.4630,0.00272,2.721387e-03,63266,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ390101.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ390102.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ390100.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ305779.1,190,58,20,0.000000000052,0,-10.2870,0.04005,4.005120e-02,64861,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235154.1,OZ375330.1,PQ305787.1,188,49,18,0.000000000048,0,-10.3197,0.03719,3.719440e-02,31187,124956-126134 & 159500-161995
OZ235154.1,OZ375330.1,PQ305820.1,195,49,18,0.000000000027,0,-10.5709,0.02103,2.103316e-02,31603,124956-126134 & 159500-161995
OZ235149.1,OZ375330.1,PZ123393.1,192,58,22,0.000000000001,0,-11.8663,0.00108,1.076286e-03,64154,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ346334.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ346337.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ346336.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ346333.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ390103.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ662929.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65793,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ254325.1,OZ375330.1,PQ305763.1,191,50,18,0.000000000058,0,-10.2397,0.04455,4.454901e-02,22169,124956-126272 & 150409-151616
OZ235154.1,OZ375330.1,PQ305773.1,187,48,18,0.000000000033,0,-10.4768,0.02606,2.605699e-02,31065,124956-126134 & 159500-161995
OZ235149.1,OZ375330.1,PX488349.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ305781.1,180,51,20,0.000000000006,0,-11.2144,0.00482,4.818969e-03,59836,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235154.1,OZ375330.1,PQ305791.1,190,49,18,0.000000000041,0,-10.3924,0.03156,3.155749e-02,31530,124956-126134 & 159500-161995
OZ235154.1,OZ375330.1,PQ305797.1,187,49,18,0.000000000052,0,-10.2832,0.04040,4.039664e-02,31595,124956-126134 & 159500-161995
OZ235149.1,OZ375330.1,PQ305803.1,185,55,20,0.000000000023,0,-10.6310,0.01834,1.834001e-02,64053,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PX480710.1,179,61,26,0.000000000000,0,-13.6142,0.00002,1.923910e-05,64032,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PV844899.1,192,61,25,0.000000000000,0,-13.5341,0.00002,2.313816e-05,65703,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PV294984.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65821,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PV002568.1,192,60,23,0.000000000001,0,-12.2227,0.00047,4.738604e-04,65798,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235154.1,OZ375330.1,PQ352021.1,179,52,20,0.000000000011,0,-10.9666,0.00851,8.511117e-03,32347,124956-126134 & 161993-162241,124956-126134 & 164714-165915
OZ235149.1,OZ375330.1,PQ499044.2,192,61,25,0.000000000000,0,-13.5341,0.00002,2.313816e-05,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ305768.1,178,54,20,0.000000000030,0,-10.5284,0.02317,2.317145e-02,62980,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ453692.1,189,63,27,0.000000000000,0,-14.4577,0.00000,2.758512e-06,65652,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,OZ461705.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65777,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ334403.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ370097.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65815,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ389617.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ412016.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ412551.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65752,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ412552.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65753,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ413597.1,187,58,26,0.000000000000,0,-14.7728,0.00000,1.335451e-06,57334,93744-103813 & 165063-165915,93744-103813 & 166392-167574
OZ235149.1,OZ375330.1,OZ414391.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ414393.1,190,63,27,0.000000000000,0,-14.5123,0.00000,2.433166e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254448.1,180,56,21,0.000000000011,0,-10.9771,0.00831,8.307651e-03,63335,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254463.1,173,55,21,0.000000000014,0,-10.8591,0.01089,1.088702e-02,61805,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254473.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63927,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254479.1,179,58,22,0.000000000005,0,-11.2780,0.00416,4.164304e-03,63140,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254482.1,188,60,23,0.000000000001,0,-12.0376,0.00073,7.255444e-04,65256,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254487.1,189,57,22,0.000000000001,0,-11.9357,0.00092,9.173403e-04,63635,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254490.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63269,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254492.1,181,57,22,0.000000000003,0,-11.5726,0.00212,2.115335e-03,63606,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254496.1,182,58,22,0.000000000004,0,-11.4171,0.00302,3.024418e-03,63915,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254245.1,183,59,22,0.000000000005,0,-11.2659,0.00428,4.281734e-03,63924,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254248.1,179,59,22,0.000000000008,0,-11.0809,0.00655,6.547105e-03,63188,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254267.1,183,58,22,0.000000000003,0,-11.4630,0.00272,2.721387e-03,63920,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254271.1,191,60,23,0.000000000001,0,-12.1767,0.00053,5.267112e-04,65738,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254274.1,182,59,23,0.000000000001,0,-11.9576,0.00087,8.722746e-04,63308,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254281.1,184,59,22,0.000000000005,0,-11.3115,0.00386,3.855303e-03,63923,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254302.1,181,56,22,0.000000000002,0,-11.7789,0.00132,1.315915e-03,63684,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254313.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65792,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254330.1,187,59,22,0.000000000004,0,-11.4471,0.00282,2.822731e-03,63922,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254387.1,189,59,22,0.000000000003,0,-11.5364,0.00230,2.298669e-03,63602,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ254398.1,192,60,23,0.000000000001,0,-12.2227,0.00047,4.738604e-04,65747,93744-97018 & 165063-165915,93744-97018 & 166392-167574
